Loading model: chatgpt-oss-20b.safetensors (fmt=safetensors)
Prompt: Simulation 3: chatgpt-oss 20B
Step 417: token=60, lp=0.600001
Step 418: token=60, lp=0.600001
Step 419: token=60, lp=0.600001
Step 420: token=60, lp=0.600001
Step 421: token=60, lp=0.600001
Step 422: token=60, lp=0.600001
Step 423: token=60, lp=0.600001
Step 424: token=60, lp=0.600001
Step 425: token=60, lp=0.600001
Step 426: token=60, lp=0.600001
Step 427: token=60, lp=0.600001
Step 428: token=60, lp=0.600001
Step 429: token=60, lp=0.600001
Step 430: token=60, lp=0.600001
Step 431: token=60, lp=0.600001
Step 432: token=60, lp=0.600001
Step 433: token=60, lp=0.600001
Step 434: token=60, lp=0.600001
Step 435: token=60, lp=0.600001
Step 436: token=60, lp=0.600001
Step 437: token=60, lp=0.600001
Step 438: token=60, lp=0.600001
Step 439: token=60, lp=0.600001
Step 440: token=60, lp=0.600001
Step 441: token=60, lp=0.600001
Step 442: token=60, lp=0.600001
Step 443: token=60, lp=0.600001
Step 444: token=60, lp=0.600001
Step 445: token=60, lp=0.600001
Step 446: token=60, lp=0.600001
Step 447: token=60, lp=0.600001
Step 448: token=60, lp=0.600001
Step 449: token=60, lp=0.600001
Step 450: token=60, lp=0.600001
Step 451: token=60, lp=0.600001
Step 452: token=60, lp=0.600001
Step 453: token=60, lp=0.600001
Step 454: token=60, lp=0.600001
Step 455: token=60, lp=0.600001
Step 456: token=60, lp=0.600001
Step 457: token=60, lp=0.600001
Step 458: token=60, lp=0.600001
Step 459: token=60, lp=0.600001
Step 460: token=60, lp=0.600001
Step 461: token=60, lp=0.600001
Step 462: token=60, lp=0.600001
Step 463: token=60, lp=0.600001
Step 464: token=60, lp=0.600001
Step 465: token=60, lp=0.600001
Step 466: token=60, lp=0.600001
Step 467: token=60, lp=0.600001
Step 468: token=60, lp=0.600001
Step 469: token=60, lp=0.600001
Step 470: token=60, lp=0.600001
Step 471: token=60, lp=0.600001
Step 472: token=60, lp=0.600001
Step 473: token=60, lp=0.600001
Step 474: token=60, lp=0.600001
Step 475: token=60, lp=0.600001
Step 476: token=60, lp=0.600001
Step 477: token=60, lp=0.600001
Step 478: token=60, lp=0.600001
Step 479: token=60, lp=0.600001
Step 480: token=60, lp=0.600001
Step 481: token=60, lp=0.600001
Step 482: token=60, lp=0.600001
Step 483: token=60, lp=0.600001
Step 484: token=60, lp=0.600001
Step 485: token=60, lp=0.600001
Step 486: token=60, lp=0.600001
Step 487: token=60, lp=0.600001
Step 488: token=60, lp=0.600001
Step 489: token=60, lp=0.600001
Step 490: token=60, lp=0.600001
Step 491: token=60, lp=0.600001
Step 492: token=60, lp=0.600001
Step 493: token=60, lp=0.600001
Step 494: token=60, lp=0.600001
Step 495: token=60, lp=0.600001
Step 496: token=60, lp=0.600001
Step 497: token=60, lp=0.600001
Step 498: token=60, lp=0.600001
Step 499: token=60, lp=0.600001
Step 500: token=60, lp=0.600001
Step 501: token=60, lp=0.600001
Step 502: token=60, lp=0.600001
Step 503: token=60, lp=0.600001
Step 504: token=60, lp=0.600001
Step 505: token=60, lp=0.600001
Step 506: token=60, lp=0.600001
Step 507: token=60, lp=0.600001
Step 508: token=60, lp=0.600001
Step 509: token=60, lp=0.600001
Step 510: token=60, lp=0.600001
Step 511: token=60, lp=0.600001
Step 512: token=60, lp=0.600001
Step 513: token=60, lp=0.600001
Step 514: token=60, lp=0.600001
Step 515: token=60, lp=0.600001
Step 516: token=60, lp=0.600001
Step 517: token=60, lp=0.600001
Step 518: token=60, lp=0.600001
Step 519: token=60, lp=0.600001
Step 520: token=60, lp=0.600001
Step 521: token=60, lp=0.600001
Step 522: token=60, lp=0.600001
Step 523: token=60, lp=0.600001
Step 524: token=60, lp=0.600001
Step 525: token=60, lp=0.600001
Step 526: token=60, lp=0.600001
Step 527: token=60, lp=0.600001
Step 528: token=60, lp=0.600001
Step 529: token=60, lp=0.600001
Step 530: token=60, lp=0.600001
Step 531: token=60, lp=0.600001
Step 532: token=60, lp=0.600001
Step 533: token=60, lp=0.600001
Step 534: token=60, lp=0.600001
Step 535: token=60, lp=0.600001
Step 536: token=60, lp=0.600001
Step 537: token=60, lp=0.600001
Step 538: token=60, lp=0.600001
Step 539: token=60, lp=0.600001
Step 540: token=60, lp=0.600001
Step 541: token=60, lp=0.600001
Step 542: token=60, lp=0.600001
Step 543: token=60, lp=0.600001
Step 544: token=60, lp=0.600001
Step 545: token=60, lp=0.600001
Step 546: token=60, lp=0.600001
Step 547: token=60, lp=0.600001
Step 548: token=60, lp=0.600001
Step 549: token=60, lp=0.600001
Step 550: token=60, lp=0.600001
Step 551: token=60, lp=0.600001
Step 552: token=60, lp=0.600001
Step 553: token=60, lp=0.600001
Step 554: token=60, lp=0.600001
Step 555: token=60, lp=0.600001
Step 556: token=60, lp=0.600001
Step 557: token=60, lp=0.600001
Step 558: token=60, lp=0.600001
Step 559: token=60, lp=0.600001
Step 560: token=60, lp=0.600001
Step 561: token=60, lp=0.600001
Step 562: token=60, lp=0.600001
Step 563: token=60, lp=0.600001
Step 564: token=60, lp=0.600001
Step 565: token=60, lp=0.600001
Step 566: token=60, lp=0.600001
Step 567: token=60, lp=0.600001
Step 568: token=60, lp=0.600001
Step 569: token=60, lp=0.600001
Step 570: token=60, lp=0.600001
Step 571: token=60, lp=0.600001
Step 572: token=60, lp=0.600001
Step 573: token=60, lp=0.600001
Step 574: token=60, lp=0.600001
Step 575: token=60, lp=0.600001
Step 576: token=60, lp=0.600001
Step 577: token=60, lp=0.600001
Step 578: token=60, lp=0.600001
Step 579: token=60, lp=0.600001
Step 580: token=60, lp=0.600001
Step 581: token=60, lp=0.600001
Step 582: token=60, lp=0.600001
Step 583: token=60, lp=0.600001
Step 584: token=60, lp=0.600001
Step 585: token=60, lp=0.600001
Step 586: token=60, lp=0.600001
Step 587: token=60, lp=0.600001
Step 588: token=60, lp=0.600001
Step 589: token=60, lp=0.600001
Step 590: token=60, lp=0.600001
Step 591: token=60, lp=0.600001
Step 592: token=60, lp=0.600001
Step 593: token=60, lp=0.600001
Step 594: token=60, lp=0.600001
Step 595: token=60, lp=0.600001
Step 596: token=60, lp=0.600001
Step 597: token=60, lp=0.600001
Step 598: token=60, lp=0.600001
Step 599: token=60, lp=0.600001
Step 600: token=60, lp=0.600001
Step 601: token=60, lp=0.600001
Step 602: token=60, lp=0.600001
Step 603: token=60, lp=0.600001
Step 604: token=60, lp=0.600001
Step 605: token=60, lp=0.600001
Step 606: token=60, lp=0.600001
Step 607: token=60, lp=0.600001
Step 608: token=60, lp=0.600001
Step 609: token=60, lp=0.600001
Step 610: token=60, lp=0.600001
Step 611: token=60, lp=0.600001
Step 612: token=60, lp=0.600001
Step 613: token=60, lp=0.600001
Step 614: token=60, lp=0.600001
Step 615: token=60, lp=0.600001
Step 616: token=60, lp=0.600001
Step 617: token=60, lp=0.600001
Step 618: token=60, lp=0.600001
Step 619: token=60, lp=0.600001
Step 620: token=60, lp=0.600001
Step 621: token=60, lp=0.600001
Step 622: token=60, lp=0.600001
Step 623: token=60, lp=0.600001
Step 624: token=60, lp=0.600001
Step 625: token=60, lp=0.600001
Step 626: token=60, lp=0.600001
Step 627: token=60, lp=0.600001
Step 628: token=60, lp=0.600001
Step 629: token=60, lp=0.600001
Step 630: token=60, lp=0.600001
Step 631: token=60, lp=0.600001
Step 632: token=60, lp=0.600001
Step 633: token=60, lp=0.600001
Step 634: token=60, lp=0.600001
Step 635: token=60, lp=0.600001
Step 636: token=60, lp=0.600001
Step 637: token=60, lp=0.600001
Step 638: token=60, lp=0.600001
Step 639: token=60, lp=0.600001
Step 640: token=60, lp=0.600001
Step 641: token=60, lp=0.600001
Step 642: token=60, lp=0.600001
Step 643: token=60, lp=0.600001
Step 644: token=60, lp=0.600001
Step 645: token=60, lp=0.600001
Step 646: token=60, lp=0.600001
Step 647: token=60, lp=0.600001
Step 648: token=60, lp=0.600001
Step 649: token=60, lp=0.600001
Step 650: token=60, lp=0.600001
Step 651: token=60, lp=0.600001
Step 652: token=60, lp=0.600001
Step 653: token=60, lp=0.600001
Step 654: token=60, lp=0.600001
Step 655: token=60, lp=0.600001
Step 656: token=60, lp=0.600001
Step 657: token=60, lp=0.600001
Step 658: token=60, lp=0.600001
Step 659: token=60, lp=0.600001
Step 660: token=60, lp=0.600001
Step 661: token=60, lp=0.600001
Step 662: token=60, lp=0.600001
Step 663: token=60, lp=0.600001
Step 664: token=60, lp=0.600001
Step 665: token=60, lp=0.600001
Step 666: token=60, lp=0.600001
Step 667: token=60, lp=0.600001
Step 668: token=60, lp=0.600001
Step 669: token=60, lp=0.600001
Step 670: token=60, lp=0.600001
Step 671: token=60, lp=0.600001
Step 672: token=60, lp=0.600001
Step 673: token=60, lp=0.600001
Step 674: token=60, lp=0.600001
Step 675: token=60, lp=0.600001
Step 676: token=60, lp=0.600001
Step 677: token=60, lp=0.600001
Step 678: token=60, lp=0.600001
Step 679: token=60, lp=0.600001
Step 680: token=60, lp=0.600001
Step 681: token=60, lp=0.600001
Step 682: token=60, lp=0.600001
Step 683: token=60, lp=0.600001
Step 684: token=60, lp=0.600001
Step 685: token=60, lp=0.600001
Step 686: token=60, lp=0.600001
Step 687: token=60, lp=0.600001
Step 688: token=60, lp=0.600001
Step 689: token=60, lp=0.600001
Step 690: token=60, lp=0.600001
Step 691: token=60, lp=0.600001
Step 692: token=60, lp=0.600001
Step 693: token=60, lp=0.600001
Step 694: token=60, lp=0.600001
Step 695: token=60, lp=0.600001
Step 696: token=60, lp=0.600001
Step 697: token=60, lp=0.600001
Step 698: token=60, lp=0.600001
Step 699: token=60, lp=0.600001
Step 700: token=60, lp=0.600001
Step 701: token=60, lp=0.600001
Step 702: token=60, lp=0.600001
Step 703: token=60, lp=0.600001
Step 704: token=60, lp=0.600001
Step 705: token=60, lp=0.600001
Step 706: token=60, lp=0.600001
Step 707: token=60, lp=0.600001
Step 708: token=60, lp=0.600001
Step 709: token=60, lp=0.600001
